tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,1908850,99.74,1761300,99.74,1908850
8,15321114,97.92,14147934,97.92,15270800
16,30948112,95.86,28392616,95.86,30541600
24,46270187,93.80,42391129,93.79,45812400
32,61533238,91.74,56434420,91.72,61083200
40,76678399,89.69,70697580,89.67,76354000
48,92020428,87.65,84735431,87.62,91624800
56,107226217,85.60,98298080,85.58,106895600
64,122545245,83.57,112557329,83.54,122166400
72,137740038,81.55,126295194,81.49,137437200
80,152403183,79.54,140258844,79.47,152708000
88,167555237,77.52,153934977,77.45,167978800
96,182492164,75.51,166750504,75.42,183249600
104,197410961,73.58,181020639,73.48,198520400
112,212278900,71.59,194712964,71.46,213791200
120,227196900,69.62,207922585,69.47,229062000
128,242056027,67.67,221918714,67.46,244332800
136,256320867,65.71,234924197,65.48,259603600
144,270893656,63.76,248394314,63.49,274874400
152,285718598,61.83,261077625,61.49,290145200
160,300314738,59.89,275180196,59.56,305416000
168,314508307,57.98,288192593,57.55,320686800
176,328958954,56.08,300777570,55.63,335957600
184,343465049,54.18,314736417,53.65,351228400
192,356910583,52.29,328543170,51.71,366499200
200,364638720,50.40,335058294,49.76,381770000
208,370669149,48.59,340141621,47.78,397040800
216,377971480,46.73,346292457,45.83,412311600
224,385300829,44.87,354065315,43.86,427582400
232,392270893,43.09,361440415,41.98,442853200
240,399752289,41.20,367624743,40.00,458124000
248,406724440,39.38,374921512,38.05,473394800
256,411853826,37.56,381632621,36.20,488665600
264,418509614,35.78,387623278,34.28,503936400
272,426367804,33.97,394453364,32.33,519207200
280,433254729,32.19,400647542,30.36,534478000
288,440045957,30.40,408255648,28.43,549748800
296,446994057,28.71,414396085,26.77,565019600
304,452885321,27.00,421261377,24.87,580290400
312,460468435,25.27,427037069,22.90,595561200
320,467659256,23.59,433635494,21.04,610832000
328,473651588,21.90,440250720,19.08,626102800
336,480537146,20.22,446552097,17.30,641373600
344,488045279,18.57,454595971,15.41,656644400
352,494362529,16.88,457855916,13.51,671915200
360,501046712,15.24,467837878,11.85,687186000
368,508880898,13.63,473156158,9.79,702456800
376,514384785,11.99,479562650,7.80,717727600
384,521174697,10.38,486862538,6.19,732998400
