tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,50247,99.96,51760,99.97,51760
8,134771,99.91,129812,99.88,414080
16,107519,99.92,94462,99.89,828160
24,122389,99.90,143160,99.89,1242240
32,106946,99.90,107239,99.88,1656320
40,130174,99.88,138389,99.88,2070400
48,118524,99.90,120395,99.87,2484480
56,140722,99.88,131227,99.88,2898560
64,123380,99.89,126816,99.88,3312640
72,131837,99.87,140118,99.88,3726720
80,132908,99.88,109424,99.89,4140800
88,118867,99.89,159465,99.87,4554880
96,145200,99.88,109063,99.89,4968960
104,109346,99.87,126801,99.87,5383040
112,124331,99.83,130337,99.85,5797120
120,110587,99.84,112786,99.85,6211200
128,110362,99.82,126904,99.86,6625280
136,121178,99.81,122968,99.86,7039360
144,136173,99.81,147703,99.84,7453440
152,134930,99.84,153091,99.85,7867520
160,142215,99.79,143841,99.86,8281600
168,166482,99.77,162163,99.85,8695680
176,159311,99.80,123292,99.85,9109760
184,140617,99.74,160065,99.84,9523840
192,149572,99.71,113497,99.85,9937920
200,109359,99.74,113344,99.85,10352000
208,123408,99.72,108825,99.86,10766080
216,127062,99.70,121310,99.86,11180160
224,132132,99.68,124847,99.86,11594240
232,113170,99.79,117806,99.85,12008320
240,125290,99.70,124992,99.83,12422400
248,117735,99.75,132022,99.84,12836480
256,128209,99.69,125328,99.87,13250560
264,102064,99.75,131600,99.86,13664640
272,108911,99.72,116024,99.85,14078720
280,115298,99.75,140359,99.84,14492800
288,114978,99.65,137066,99.86,14906880
296,118536,99.63,119589,99.87,15320960
304,126693,99.48,102168,99.87,15735040
312,124558,99.60,111106,99.86,16149120
320,123904,99.68,121165,99.85,16563200
328,112815,99.74,109173,99.86,16977280
336,101091,99.65,100651,99.86,17391360
344,124014,99.57,98948,99.85,17805440
352,110801,99.35,112171,99.86,18219520
360,109641,99.63,120269,99.86,18633600
368,116237,99.56,118499,99.86,19047680
376,115083,99.53,99956,99.86,19461760
384,128743,99.32,124266,99.83,19875840
