tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,2672684,99.74,2011190,99.74,2672684
8,21472131,97.93,1339423,97.93,21381472
16,42711787,95.85,737384,95.86,42762944
24,63308642,93.80,678982,93.79,64144416
32,85642916,91.74,629531,91.73,85525888
40,106435718,89.69,565205,89.69,106907360
48,128164618,87.64,603380,87.64,128288832
56,149082751,85.60,612104,85.59,149670304
64,171103108,83.58,570394,83.55,171051776
72,191826321,81.55,605613,81.51,192433248
80,212640762,79.53,553204,79.47,213814720
88,234760267,77.52,570015,77.45,235196192
96,255985614,75.51,584682,75.41,256577664
104,276548716,73.58,400694,73.44,277959136
112,298220532,71.59,410823,71.44,299340608
120,319958394,69.62,379068,69.43,320722080
128,341663882,67.67,412418,67.41,342103552
136,362222809,65.71,386229,65.41,363485024
144,384307759,63.75,388390,63.43,384866496
152,404874679,61.83,387059,61.43,406247968
160,426124546,59.90,368254,59.43,427629440
168,447932023,57.98,393978,57.45,449010912
176,468862614,56.07,383116,55.48,470392384
184,490010789,54.17,383822,53.51,491773856
192,512177223,52.29,409690,51.51,513155328
200,525352229,50.41,377847,49.62,534536800
208,535708312,48.53,366043,47.60,555918272
216,551457570,46.70,385684,45.75,577299744
224,565924184,44.86,382919,43.69,598681216
232,582358799,43.00,398783,41.73,620062688
240,595568424,41.16,371530,39.81,641444160
248,606884368,39.35,391393,37.83,662825632
256,623531515,37.54,378802,35.91,684207104
264,635367581,35.74,369743,34.01,705588576
272,651085267,33.94,369640,32.08,726970048
280,662570538,32.17,392821,30.10,748351520
288,677209212,30.40,375228,28.13,769732992
296,691560802,28.66,357801,26.50,791114464
304,708332141,26.97,369666,24.50,812495936
312,718951629,25.25,374951,22.66,833877408
320,735103292,23.54,352389,20.70,855258880
328,749083637,21.88,362814,18.99,876640352
336,763381482,20.21,356812,17.13,898021824
344,776793269,18.54,348810,15.13,919403296
352,787259126,16.88,369975,13.15,940784768
360,806644709,15.22,365434,11.30,962166240
368,819235780,13.65,356162,10.27,983547712
376,834267692,11.97,339640,8.37,1004929184
384,845896497,10.38,340340,5.79,1026310656
