tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,724247,99.74,409341,99.74,724247
8,6070117,97.92,3250255,97.94,5793976
16,12154304,95.85,6495335,95.89,11587952
24,18114197,93.80,10081207,93.83,17381928
32,24257672,91.74,13174097,91.83,23175904
40,30296738,89.68,16658789,89.76,28969880
48,36360291,87.65,20042915,87.73,34763856
56,42452077,85.61,23325108,85.71,40557832
64,48286801,83.58,26059955,83.70,46351808
72,53616485,81.55,30025645,81.68,52145784
80,60614717,79.53,33098366,79.67,57939760
88,66575597,77.53,36724975,77.68,63733736
96,72307817,75.52,39658053,75.68,69527712
104,78200545,73.58,43371841,73.74,75321688
112,84279975,71.61,46224816,71.77,81115664
120,91050472,69.64,49191269,69.81,86909640
128,95685262,67.71,52137361,67.81,92703616
136,101468265,65.76,56287316,65.86,98497592
144,108333987,63.79,58944651,64.15,104291568
152,114481012,61.87,62705849,61.99,110085544
160,121066773,59.94,66024424,60.05,115879520
168,127135744,58.01,68922896,58.07,121673496
176,132674241,56.14,71150103,56.17,127467472
184,138887533,54.28,75533213,54.24,133261448
192,144267351,52.33,78881125,52.40,139055424
200,147517953,50.46,80374842,50.60,144849400
208,149772863,48.62,81899315,48.58,150643376
216,152690363,46.80,84021316,46.69,156437352
224,156163963,44.93,86627430,44.64,162231328
232,159945633,43.12,88364104,42.74,168025304
240,161659763,41.26,89742791,40.94,173819280
248,165593341,39.46,91779484,38.96,179613256
256,168620371,37.68,91979007,37.03,185407232
264,171263699,35.80,95139539,35.73,191201208
272,174233147,34.05,97633354,33.62,196995184
280,176841205,32.28,99666127,31.97,202789160
288,180549582,30.53,100996495,29.62,208583136
296,184016390,28.77,103695564,27.90,214377112
304,186790561,27.15,105398839,26.08,220171088
312,190446824,25.33,107009648,24.41,225965064
320,194093827,23.65,109274197,22.62,231759040
328,196782353,21.97,110937191,20.68,237553016
336,199373117,20.37,112745827,18.85,243346992
344,202879229,18.65,114579888,17.47,249140968
352,205245623,16.95,115590537,15.88,254934944
360,209107096,15.42,118414108,13.53,260728920
368,212114623,13.76,120370972,11.59,266522896
376,215402171,12.10,122684064,9.84,272316872
384,218419696,10.47,124401803,8.09,278110848
