tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,3632748,99.74,3438660,99.73,3632748
8,28558229,97.92,27724666,97.92,29061984
16,57628545,95.86,55094412,95.86,58123968
24,85990098,93.79,82634353,93.79,87185952
32,114964340,91.74,110637169,91.73,116247936
40,144072645,89.69,138139447,89.67,145309920
48,172817893,87.64,166292774,87.62,174371904
56,200133482,85.61,193356089,85.58,203433888
64,225380025,83.58,221067440,83.53,232495872
72,255945986,81.56,246491533,81.51,261557856
80,285634554,79.53,274272667,79.48,290619840
88,313151473,77.52,302060344,77.45,319681824
96,340946447,75.51,326369780,75.42,348743808
104,370055455,73.58,354556239,73.47,377805792
112,399147880,71.59,383273158,71.46,406867776
120,425092549,69.63,410047291,69.44,435929760
128,453833120,67.67,439088154,67.48,464991744
136,481692158,65.72,466727939,65.51,494053728
144,511859916,63.77,493295352,63.50,523115712
152,535964817,61.82,518487559,61.50,552177696
160,568081063,59.90,548655100,59.53,581239680
168,595970542,57.98,574242317,57.59,610301664
176,624268595,56.07,602787487,55.58,639363648
184,652860824,54.18,628347213,53.64,668425632
192,682070362,52.28,656929121,51.66,697487616
200,693863094,50.40,669210111,49.74,726549600
208,707198090,48.56,680433214,47.74,755611584
216,718546744,46.71,693859876,45.81,784673568
224,733195637,44.86,703871671,43.97,813735552
232,740790119,43.04,719828571,41.88,842797536
240,756888653,41.18,731303668,40.01,871859520
248,761328808,39.39,742244044,38.17,900921504
256,777144117,37.56,753312640,36.14,929983488
264,797967279,35.76,761439184,34.24,959045472
272,805578567,33.98,771802178,32.25,988107456
280,819931622,32.17,795361134,30.36,1017169440
288,837058394,30.40,792998739,28.40,1046231424
296,849228853,28.69,814922453,26.73,1075293408
304,858652839,26.98,823914454,24.78,1104355392
312,860679818,25.31,843000718,23.08,1133417376
320,889609002,23.58,827880283,21.01,1162479360
328,898628954,21.87,853601601,19.24,1191541344
336,916509961,20.24,876885219,17.47,1220603328
344,908035934,18.53,883209203,15.51,1249665312
352,940061051,16.87,899817222,13.69,1278727296
360,951583858,15.30,919272129,11.77,1307789280
368,969962796,13.60,914455034,9.74,1336851264
376,982262938,12.04,938051977,8.10,1365913248
384,994825765,10.41,947309400,6.17,1394975232
