tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,6785701,99.74,6799183,99.73,6799183
8,54004026,97.93,53956047,97.92,54393464
16,108284190,95.86,108425410,95.86,108786928
24,162860851,93.79,161606398,93.79,163180392
32,216767869,91.74,217232094,91.73,217573856
40,271397689,89.69,271015715,89.67,271967320
48,325752934,87.65,325342778,87.63,326360784
56,380383916,85.61,379738796,85.58,380754248
64,434330448,83.58,433047371,83.53,435147712
72,488329696,81.56,488260650,81.50,489541176
80,543406739,79.54,542375334,79.46,543934640
88,597572822,77.52,595473435,77.43,598328104
96,652078474,75.51,650663968,75.39,652721568
104,706570430,73.58,704928163,73.43,707115032
112,759629950,71.59,759202448,71.41,761508496
120,814522057,69.63,813803585,69.40,815901960
128,868391782,67.67,860411828,67.39,870295424
136,923374844,65.71,922197730,65.40,924688888
144,969986531,63.76,975374874,63.40,979082352
152,1028702152,61.82,1029616677,61.41,1033475816
160,1084888857,59.90,1083141102,59.41,1087869280
168,1138223010,57.98,1137427917,57.43,1142262744
176,1193346902,56.06,1192238482,55.45,1196656208
184,1244654233,54.17,1245209144,53.48,1251049672
192,1299300154,52.28,1300315485,51.49,1305443136
200,1330809558,50.41,1327168822,49.54,1359836600
208,1360918071,48.57,1358205503,47.59,1414230064
216,1389134083,46.71,1382502850,45.62,1468623528
224,1419393953,44.87,1418482140,43.66,1523016992
232,1449301343,43.02,1446740533,41.70,1577410456
240,1474961251,41.19,1478678417,39.75,1631803920
248,1509461328,39.37,1507194286,37.80,1686197384
256,1541121778,37.56,1538598869,35.86,1740590848
264,1562868153,35.74,1569225995,33.92,1794984312
272,1599715326,33.98,1589980989,32.00,1849377776
280,1630592317,32.19,1631766277,30.16,1903771240
288,1660396182,30.41,1657692350,28.11,1958164704
296,1690771795,28.70,1690814983,26.32,2012558168
304,1714805344,27.11,1713877215,24.40,2066951632
312,1741839275,25.30,1749597499,22.50,2121345096
320,1779688247,23.58,1780427010,20.59,2175738560
328,1810836831,21.90,1788416496,18.70,2230132024
336,1833635627,20.26,1840825085,16.78,2284525488
344,1868744992,18.53,1870618032,14.87,2338918952
352,1901631834,16.91,1898577467,13.00,2393312416
360,1929926042,15.26,1931840577,11.10,2447705880
368,1961605257,13.67,1961804619,9.23,2502099344
376,1985363068,12.00,1992203909,7.31,2556492808
384,2010705672,10.40,2018245403,5.47,2610886272
