tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,6737735,99.73,6781230,99.74,6781230
8,54159454,97.92,53689480,97.92,54249840
16,108246970,95.86,107664424,95.86,108499680
24,161779149,93.79,161371437,93.79,162749520
32,215387342,91.74,215433118,91.73,216999360
40,269748983,89.69,268635198,89.67,271249200
48,322616956,87.65,322160327,87.63,325499040
56,377074629,85.61,375864663,85.58,379748880
64,430746819,83.57,430698757,83.54,433998720
72,484444886,81.55,484495322,81.50,488248560
80,538223510,79.54,537904701,79.46,542498400
88,592399446,77.52,591809925,77.43,596748240
96,646206727,75.51,645357451,75.39,650998080
104,698809240,73.58,699552988,73.42,705247920
112,750568713,71.60,752517095,71.41,759497760
120,803885816,69.63,806027625,69.40,813747600
128,857380010,67.67,858842102,67.39,867997440
136,910572145,65.71,912191213,65.40,922247280
144,965017107,63.77,965966877,63.40,976497120
152,1017302531,61.82,1019485117,61.40,1030746960
160,1069573307,59.90,1072840300,59.41,1084996800
168,1125339460,57.97,1125851798,57.42,1139246640
176,1178593766,56.08,1180386130,55.45,1193496480
184,1231724188,54.16,1233868792,53.47,1247746320
192,1285858442,52.26,1286790348,51.50,1301996160
200,1307517823,50.40,1308975733,49.55,1356246000
208,1328104631,48.57,1333268929,47.57,1410495840
216,1350375931,46.70,1354992972,45.61,1464745680
224,1370150241,44.86,1375896156,43.67,1518995520
232,1392020335,43.02,1400199048,41.70,1573245360
240,1413507569,41.18,1421635956,39.74,1627495200
248,1435428856,39.36,1444548283,37.79,1681745040
256,1455386809,37.54,1467694622,35.85,1735994880
264,1478031895,35.75,1490137338,33.92,1790244720
272,1498294888,33.96,1511451736,31.98,1844494560
280,1520421651,32.17,1535803167,30.05,1898744400
288,1539539923,30.43,1557123340,28.11,1952994240
296,1562021933,28.86,1581926042,26.32,2007244080
304,1584402963,26.99,1604318739,24.41,2061493920
312,1603817934,25.31,1626253501,22.50,2115743760
320,1626435274,23.67,1649486492,20.61,2169993600
328,1645914952,21.87,1668854433,18.68,2224243440
336,1667535472,20.21,1692739359,16.76,2278493280
344,1687343754,18.54,1715001137,14.87,2332743120
352,1707194657,16.88,1737107047,13.01,2386992960
360,1730343526,15.23,1758626035,11.09,2441242800
368,1751839229,13.65,1781246685,9.24,2495492640
376,1773103508,11.98,1804794322,7.32,2549742480
384,1792486522,10.38,1827631915,5.46,2603992320
