tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,2756789,99.74,2512532,99.74,2756789
8,21651263,97.92,19970436,97.93,22054312
16,43314975,95.86,41276563,95.86,44108624
24,65895791,93.80,63342511,93.79,66162936
32,89056788,91.74,83755787,91.74,88217248
40,112751986,89.69,103852913,89.68,110271560
48,134747513,87.65,125278279,87.62,132325872
56,157615685,85.61,147069604,85.59,154380184
64,180506129,83.58,166117717,83.55,176434496
72,201337696,81.54,186737200,81.52,198488808
80,222642206,79.53,204996064,79.49,220543120
88,243212781,77.52,225217269,77.48,242597432
96,262971904,75.50,248872388,75.47,264651744
104,281992686,73.56,264898884,73.51,286706056
112,306716804,71.57,282794293,71.52,308760368
120,330367737,69.60,307712345,69.53,330814680
128,352598523,67.63,325749851,67.51,352868992
136,371968286,65.66,347894731,65.57,374923304
144,391258953,63.72,370612202,63.69,396977616
152,414801012,61.78,390688518,61.62,419031928
160,435643379,59.85,412127706,59.64,441086240
168,456376396,57.91,431993637,57.74,463140552
176,475389870,56.00,453435707,55.73,485194864
184,496029844,54.10,469357674,53.83,507249176
192,515346201,52.19,493450544,51.84,529303488
200,528155560,50.31,480483070,49.90,551357800
208,545468664,48.58,500056419,48.01,573412112
216,561485715,46.76,513229905,46.05,595466424
224,569636530,44.88,523854059,44.14,617520736
232,580607814,43.04,534555740,42.28,639575048
240,595135270,41.20,547418386,40.22,661629360
248,604577149,39.38,557154937,38.55,683683672
256,618377437,37.56,564840637,36.47,705737984
264,627552952,35.84,574942175,34.61,727792296
272,631123660,33.93,584282975,32.73,749846608
280,640292676,32.14,589973872,30.80,771900920
288,645956750,30.36,595279569,29.00,793955232
296,651859586,28.63,606594852,26.99,816009544
304,669438358,26.85,614945657,25.26,838063856
312,681187841,25.19,627260572,23.31,860118168
320,695148482,23.19,629386691,21.43,882172480
328,704765765,21.53,646898634,19.61,904226792
336,717318372,19.90,657483018,17.73,926281104
344,729284473,18.39,668365878,16.10,948335416
352,739890963,16.70,678549654,14.13,970389728
360,749389227,15.00,692827953,12.22,992444040
368,756066725,13.36,695097362,10.48,1014498352
376,761123261,11.69,702398496,8.83,1036552664
384,767322477,10.07,707786020,6.77,1058606976
